CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l)
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181084;75;20-mar-03;17:07:48;33.269;4.761;3.9077;0.0637795041322314;33.235;5.625
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181085;50;20-mar-03;17:07:48;32.019;-0.048;4.6855;0.124015702479339;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181086;40;20-mar-03;17:07:48;31.816;-0.016;4.8914;0.145275537190083;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181087;30;20-mar-03;17:07:48;31.454;-0.822;4.9511;3.48948041322314;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181088;20;20-mar-03;17:07:48;31.45;-0.832;4.9458;3.2643526446281;31.45;8.5845
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181089;10;20-mar-03;17:07:48;31.437;-0.864;4.9667;3.37691652892562;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181090;5;20-mar-03;17:07:48;31.395;-1.122;4.9436;3.48948041322314;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181091;1;20-mar-03;17:07:48;31.391;-1.132;4.8914;2.7015332231405;NaN;NaN
NED2003003_12;MFD_SETNO12;45.070667;59.944333;245435;132;08-mar-03;23:35:54;31.389;-1.116;4.8539;3.37691652892562;NaN;NaN
NED2003003_12;MFD_SETNO12;45.070667;59.944333;245436;50;08-mar-03;23:35:54;31.388;-1.118;4.8601;3.48948041322314;31.448;8.625
NED2003003_12;MFD_SETNO12;45.070667;59.944333;245437;25;08-mar-03;23:35:54;32.837;1.283;4.3132;0.0513779338842975;32.783;6.793
NED2003003_12;MFD_SETNO12;45.070667;59.944333;245438;5;08-mar-03;23:35:54;32.196;-1.639;4.7183;0.569029338842975;NaN;NaN
NED2003003_13;MFD_SETNO13;44.6465;59.944833;245439;85;09-mar-03;02:52:16;31.701;-1.656;4.6897;0.518856859504133;NaN;NaN
NED2003003_13;MFD_SETNO13;44.6465;59.944833;245440;50;09-mar-03;02:52:16;31.665;-1.666;3.1484;0.549449834710744;31.661;8.5665
NED2003003_13;MFD_SETNO13;44.6465;59.944833;245441;25;09-mar-03;02:52:16;32.498;1.144;4.3443;0.193818826446281;32.505;7.442
NED2003003_14;MFD_SETNO14;44.741;59.7785;245442;196;09-mar-03;05:38:05;32.223;0.283;4.4874;0.194881818181818;NaN;NaN
NED2003003_14;MFD_SETNO14;44.741;59.7785;245443;50;09-mar-03;05:38:05;31.912;-0.861;4.5555;0.333534661157025;NaN;NaN
NED2003003_14;MFD_SETNO14;44.741;59.7785;245444;25;09-mar-03;05:38:05;33.236;3.25;3.9692;0.117283421487603;33.227;6.4345
NED2003003_15;MFD_SETNO15;44.734333;59.622833;245445;78;09-mar-03;07:55:23;31.848;-1.036;4.5219;0.520080578512397;NaN;NaN
NED2003003_15;MFD_SETNO15;44.734333;59.622833;245446;50;09-mar-03;07:55:23;31.804;-1.265;4.4851;0.657137107438017;NaN;NaN
NED2003003_15;MFD_SETNO15;44.734333;59.622833;245447;25;09-mar-03;07:55:23;32.193;0.388;4.4276;0.163346396694215;32.171;7.577
NED2003003_15;MFD_SETNO15;44.734333;59.622833;245448;5;09-mar-03;07:55:23;31.818;-0.955;4.6574;0.450328595041322;NaN;NaN
NED2003003_16;MFD_SETNO16;44.888833;59.281167;245449;100;09-mar-03;10:46:12;31.72;-1.33;4.6023;0.572700495867769;NaN;NaN
