CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2010001_54;MFD_SETNO54;41.908;-66.364;336834;82;07-mar-10;06:41:34;32.8548;5.3149;6.57906;0.571910437288136;8.027;0.8185;9.346;32.8555870056152;0.1875;6.616
NED2010001_54;MFD_SETNO54;41.908;-66.364;336835;5;07-mar-10;06:41:34;32.8405;5.2428;6.54339;0.658940286440678;7.793;0.892;9.116;NaN;0.1935;6.624
NED2010001_55;MFD_SETNO55;41.824;-66.3957;336836;81;07-mar-10;09:54:42;32.8051;5.2347;6.68501;0.596776108474576;NaN;NaN;NaN;32.8021278381348;NaN;6.642
NED2010001_55;MFD_SETNO55;41.824;-66.3957;336837;4;07-mar-10;09:54:42;32.8094;5.2228;6.63382;0.621641779661017;NaN;NaN;NaN;NaN;NaN;6.5865
NED2010001_58;MFD_SETNO58;41.5772;-66.5795;336838;81;07-mar-10;15:14:51;32.771;5.2714;6.62879;0.621641779661017;NaN;NaN;NaN;32.7678489685059;NaN;6.584
NED2010001_58;MFD_SETNO58;41.5772;-66.5795;336839;5;07-mar-10;15:14:51;32.7666;5.2817;6.6194;0.634074615254237;NaN;NaN;NaN;NaN;NaN;6.7
NED2010001_59;MFD_SETNO59;41.3725;-66.4487;336840;92;07-mar-10;17:22:57;32.9136;5.51;6.45919;0.374720153813559;NaN;NaN;NaN;NaN;NaN;6.5835
NED2010001_59;MFD_SETNO59;41.3725;-66.4487;336841;5;07-mar-10;17:22:57;32.8541;5.6205;6.5471;0.385634333050847;NaN;NaN;NaN;NaN;NaN;6.645
NED2010001_6;MFD_SETNO6;42.0215;-66.1823;336787;87;27-feb-10;12:59:48;33.1631;6.2619;5.84461;0.141884330084746;9.793;0.9795;11.6995;33.1651000976562;0.1465;5.8595
NED2010001_6;MFD_SETNO6;42.0215;-66.1823;336788;5;27-feb-10;12:59:48;32.2731;4.3063;7.04341;0.671373122033898;6.203;0.749;6.8875;NaN;0.2195;7.058
NED2010001_62;MFD_SETNO62;41.5628;-66.1002;336842;97;07-mar-10;22:01:08;33.6683;7.4455;5.60461;0.338339556355932;NaN;NaN;NaN;33.6669540405273;NaN;5.755
NED2010001_62;MFD_SETNO62;41.5628;-66.1002;336843;6;07-mar-10;22:01:08;33.3029;6.5494;6.24814;0.7335373;NaN;NaN;NaN;NaN;NaN;6.4035
NED2010001_65;MFD_SETNO65;41.7575;-65.9898;336844;101;08-mar-10;02:24:55;33.4586;6.669;5.77917;0.497313423728814;NaN;NaN;NaN;33.4460830688477;NaN;5.905
NED2010001_65;MFD_SETNO65;41.7575;-65.9898;336845;4;08-mar-10;02:24:55;32.86;5.3881;6.59851;0.547044766101695;NaN;NaN;NaN;NaN;NaN;6.704
NED2010001_67;MFD_SETNO67;41.895;-65.992;336846;91;08-mar-10;06:34:01;33.3659;6.5343;5.93978;0.571910437288136;NaN;NaN;NaN;33.3611526489258;NaN;6.1165
NED2010001_67;MFD_SETNO67;41.895;-65.992;336847;29;08-mar-10;06:34:01;32.9304;5.4876;6.35685;0.783268642372881;NaN;NaN;NaN;NaN;NaN;NaN
NED2010001_67;MFD_SETNO67;41.895;-65.992;336848;5;08-mar-10;06:34:01;32.0818;3.7633;6.81875;0.547044766101695;6.4245;0.7235;6.401;NaN;0.1795;6.8845
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336849;152;09-mar-10;04:59:01;34.0508;7.6908;4.11975;0.0502239383458647;13.4155;1.2425;14.402;33.9679298400879;0.149;4.3155
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336850;101;09-mar-10;04:59:01;32.9281;4.5587;5.67409;0.598445512669173;9.8545;1.0415;9.7925;NaN;0.1375;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336851;76;09-mar-10;04:59:01;32.4623;3.8359;7.08079;4.52240574793233;3.7625;0.5985;3.003;NaN;0.2135;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336852;51;09-mar-10;04:59:01;32.3893;3.5092;7.21212;4.77839097894737;4.0685;0.624;2.9645;NaN;0.2245;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336853;41;09-mar-10;04:59:01;32.3618;3.5149;7.16365;3.92510687556391;3.867;0.5835;2.663;32.3538818359375;0.2315;7.289
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336854;30;09-mar-10;04:59:01;32.285;3.1892;7.26689;3.49846482387218;4.129;0.6095;2.75;NaN;0.215;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336855;20;09-mar-10;04:59:01;31.6445;1.5583;7.71275;1.60455923007519;4.862;0.701;4.046;NaN;0.1915;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336856;10;09-mar-10;04:59:01;31.4762;1.2368;7.66251;0.67122942637218;5.721;0.787;4.999;NaN;0.204;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336857;5;09-mar-10;04:59:01;31.4373;1.1709;7.65093;0.727839137030075;5.66;0.7525;5.017;NaN;0.256;NaN
NED2010001_69;MFD_SETNO69;44.2662;-63.3168;336858;2;09-mar-10;04:59:01;31.4356;1.1614;7.57662;0.614619715714286;5.867;0.7705;4.884;31.4575214385986;0.194;7.7315
NED2010001_7;MFD_SETNO7;42.0555;-66.469;336789;88;27-feb-10;16:34:29;32.9417;5.7144;6.28032;0.225559704237288;8.81;0.9435;10.352;32.9363861083984;0.1965;6.3005
NED2010001_7;MFD_SETNO7;42.0555;-66.469;336790;5;27-feb-10;16:34:29;32.926;5.7504;6.29707;0.221921644491525;8.669;0.9285;10.351;NaN;0.186;6.2555
NED2010001_8;MFD_SETNO8;42.0442;-66.6823;336791;67;27-feb-10;18:33:35;32.7924;5.3624;6.46968;0.276492540677966;8.269;0.9;9.6335;32.7873764038086;0.192;6.5015
NED2010001_8;MFD_SETNO8;42.0442;-66.6823;336792;5;27-feb-10;18:33:35;32.7525;5.3113;6.55178;0.327425377118644;8.006;0.9005;9.456;NaN;0.2695;6.474
