CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2006036_17;MFD_SETNO17;45.70475;-59.7814;295917;146;23-jul-06;05:48:51;33.3659;3.0953;3.87477;0.0282664516129032;12.8325;1.1985;12.1825;33.378;5.302
NED2006036_17;MFD_SETNO17;45.70475;-59.7814;295918;49;23-jul-06;05:48:51;32.2103;2.621;5.02588;0.163176774193548;6.35;0.7915;6.2515;NaN;NaN
NED2006036_17;MFD_SETNO17;45.70475;-59.7814;295919;24;23-jul-06;05:48:51;31.5627;4.8563;5.47605;0.743719741935484;1.381;0.502;0.198;NaN;NaN
NED2006036_17;MFD_SETNO17;45.70475;-59.7814;295920;5;23-jul-06;05:48:51;29.853;16.7147;4.36864;0.655481806451613;1.8925;0.173;0.048;NaN;5.926
NED2006036_18;MFD_SETNO18;45.756217;-59.47495;295921;143;23-jul-06;08:11:47;33.4148;3.2535;3.87103;0.0256967741935484;13.714;1.25;13.339;33.424;5.3425
NED2006036_18;MFD_SETNO18;45.756217;-59.47495;295922;49;23-jul-06;08:11:47;31.7799;3.2196;5.34904;0.203970967741935;4.8375;0.657;3.7145;NaN;NaN
NED2006036_18;MFD_SETNO18;45.756217;-59.47495;295923;24;23-jul-06;08:11:47;30.9239;7.1327;5.1581;0.53848335483871;3.3395;0.51;1.713;NaN;NaN
NED2006036_18;MFD_SETNO18;45.756217;-59.47495;295924;6;23-jul-06;08:11:47;29.8943;14.6659;4.57363;0.907590193548387;2.3235;0.2525;0.036;NaN;6.0875
NED2006036_19;MFD_SETNO19;45.873033;-59.43225;295925;61;23-jul-06;10:06:18;32.1556;2.4903;5.10865;0.167256193548387;5.93;0.799;4.9345;32.144;6.9695
NED2006036_19;MFD_SETNO19;45.873033;-59.43225;295926;50;23-jul-06;10:06:18;31.9286;2.9818;5.22012;0.199891548387097;5.2495;0.7545;4.0035;NaN;NaN
NED2006036_19;MFD_SETNO19;45.873033;-59.43225;295927;24;23-jul-06;10:06:18;31.3747;6.8188;5.26261;0.617665548387097;3.403;0.602;2.007;NaN;NaN
NED2006036_19;MFD_SETNO19;45.873033;-59.43225;295928;6;23-jul-06;10:06:18;29.6574;17.1065;4.29219;0.546642193548387;2.01;0.168;0.026;NaN;5.7365
NED2006036_2;MFD_SETNO2;44.64135;-62.336983;295867;122;21-jul-06;05:11:04;34.1074;7.4735;2.55835;NaN;NaN;NaN;NaN;NaN;NaN
NED2006036_2;MFD_SETNO2;44.64135;-62.336983;295868;49;21-jul-06;05:11:04;32.0876;3.1226;4.84903;0.326353548387097;5.414;0.842;5.9275;NaN;NaN
NED2006036_2;MFD_SETNO2;44.64135;-62.336983;295869;24;21-jul-06;05:11:04;31.8506;8.2814;5.309;0.731114322580645;1.5425;0.436;0.611;NaN;NaN
NED2006036_2;MFD_SETNO2;44.64135;-62.336983;295870;5;21-jul-06;05:11:04;30.6414;16.4745;4.45224;0.236606322580645;0.342;0.2445;0.076;NaN;6.1375
NED2006036_20;MFD_SETNO20;45.9936;-59.285567;295929;79;23-jul-06;12:03:06;32.3758;2.0112;5.00498;0.132338387096774;6.7695;0.875;5.949;32.393;6.795
