CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEM2008775_36;MFD_SETNO36;42.480683;-65.729667;321050;5;12-mar-08;10:49:00;31.8493;2.7195;7.061;0.748286;4.848;0.667;5.045;NaN;7.5235
TEM2008775_37;MFD_SETNO37;42.5016;-65.93575;321051;131;12-mar-08;13:24:00;33.7793;5.9692;5.097;0.105351155555556;9.1915;1.0405;14.0275;33.802;5.401
TEM2008775_37;MFD_SETNO37;42.5016;-65.93575;321052;21;12-mar-08;13:24:00;31.7016;2.2842;6.94758;0.65475025;5.0625;0.6775;5.05;NaN;7.5295
TEM2008775_38;MFD_SETNO38;42.379;-66.183883;321053;241;12-mar-08;16:07:00;34.8404;6.2521;5.74771;0.0164183619047619;11.769;1.247;19.6465;34.87;4.9005
TEM2008775_38;MFD_SETNO38;42.379;-66.183883;321054;18;12-mar-08;16:07:00;31.691;2.0824;7.7046;0.68147475;5.0905;0.673;5.043;NaN;7.7305
TEM2008775_39;MFD_SETNO39;42.2699;-66.00765;321055;229;12-mar-08;18:59:59;34.8542;5.96;5.77221;0.0164183619047619;12.3525;1.292;19.7355;34.902;5.006
TEM2008775_39;MFD_SETNO39;42.2699;-66.00765;321056;13;12-mar-08;18:59:59;32.0019;2.9294;6.73424;0.641388;5.7215;0.736;6.042;NaN;7.5885
TEM2008775_40;MFD_SETNO40;41.84765;-66.266433;321057;81;12-mar-08;23:54:54;33.0805;5.0501;6.69671;0.84182175;7.289;0.9015;9.9805;33.114;6.989
TEM2008775_40;MFD_SETNO40;41.84765;-66.266433;321058;5;12-mar-08;23:54:54;33.0806;5.0416;6.69289;0.7750105;7.782;0.925;10.6965;NaN;7.022
TEM2008775_43;MFD_SETNO43;41.716917;-66.224983;321059;81;13-mar-08;08:00:00;33.0006;4.9966;6.63155;0.6681125;7.865;0.894;10.196;33.03;6.87
TEM2008775_43;MFD_SETNO43;41.716917;-66.224983;321060;11;13-mar-08;08:00:00;32.9965;4.9769;6.77642;0.6681125;7.8535;0.977;10.2795;NaN;6.839
TEM2008775_46;MFD_SETNO46;41.641017;-66.09695;321061;99;13-mar-08;21:13:38;33.1709;5.355;6.31007;0.427592;8.2705;0.9045;11.08;33.198;6.515
TEM2008775_46;MFD_SETNO46;41.641017;-66.09695;321062;3;13-mar-08;21:13:38;32.7451;4.8186;7.06004;1.2560515;6.134;0.7215;7.0015;NaN;6.978
TEM2008775_48;MFD_SETNO48;41.61315;-65.9398;321063;155;13-mar-08;23:55:08;33.5473;6.3007;5.78957;0.197954476190476;7.6;0.9205;12.982;34.295;5.2385
TEM2008775_48;MFD_SETNO48;41.61315;-65.9398;321064;5;13-mar-08;23:55:08;32.1522;3.8742;6.89385;1.91080175;4.3915;0.6065;4.106;NaN;7.392
TEM2008775_49;MFD_SETNO49;41.417917;-66.043083;321065;157;14-mar-08;04:52:20;34.7426;8.6553;4.16975;0.0396777079365079;9.729;1.132;17.5225;34.774;4.395
TEM2008775_49;MFD_SETNO49;41.417917;-66.043083;321066;6;14-mar-08;04:52:20;32.4558;4.6317;7.04987;2.40340596825397;4.494;0.58;3.912;NaN;7.2625
TEM2008775_50;MFD_SETNO50;41.5416;-66.344917;321067;88;14-mar-08;07:15:24;33.015;5.0087;6.55572;0.60130125;8.489;0.8885;10.3115;33.057;6.7715
TEM2008775_50;MFD_SETNO50;41.5416;-66.344917;321068;5;14-mar-08;07:15:24;33.0166;5.0044;6.55837;0.6146635;8.0735;0.9075;10.465;NaN;6.73
TEM2008775_51;MFD_SETNO51;41.38925;-66.378467;321069;93;14-mar-08;09:20:45;33.084;5.1357;6.57633;0.92199525;7.9445;0.872;9.821;33.118;6.8455
TEM2008775_51;MFD_SETNO51;41.38925;-66.378467;321070;6;14-mar-08;09:20:45;32.9053;5.1912;6.59806;1.50993425;5.7085;0.7245;6.7885;NaN;6.8705
TEM2008775_54;MFD_SETNO54;40.928833;-66.832667;321071;86;14-mar-08;16:01:00;32.943;5.0916;6.81824;2.0043375;4.356;0.7755;7.977;32.997;7.012
TEM2008775_54;MFD_SETNO54;40.928833;-66.832667;321072;6;14-mar-08;16:01:00;32.9263;5.0976;6.86645;1.763817;4.6045;0.832;8.8095;NaN;7.118
TEM2008775_56;MFD_SETNO56;40.59345;-67.1771;321073;133;14-mar-08;20:08:38;35.1138;11.8556;4.49299;0.166902793650794;6.3625;0.7975;12.2285;35.145;4.7075
TEM2008775_56;MFD_SETNO56;40.59345;-67.1771;321074;6;14-mar-08;20:08:38;33.161;5.9364;6.6758;1.2560515;6.1075;0.7945;8.1745;NaN;7.024
TEM2008775_59;MFD_SETNO59;40.977117;-68.001733;321075;50;15-mar-08;02:52:07;32.7133;5.1425;7.0635;7.89959861904762;0.001;0.344;0.575;32.748;7.342
TEM2008775_59;MFD_SETNO59;40.977117;-68.001733;321076;5;15-mar-08;02:52:07;32.7129;5.1411;7.03972;5.85659897619048;0;0.35;0.6205;NaN;7.275
TEM2008775_6;MFD_SETNO6;41.9892;-66.3128;321015;80;05-mar-08;13:52:54;33.0562;5.0387;6.47782;0.53449;8.9695;0.955;10.7935;33.11;6.831
TEM2008775_6;MFD_SETNO6;41.9892;-66.3128;321016;6;05-mar-08;13:52:54;33.0541;5.0587;6.4741;0.54785225;9.784;1.079;10.6475;NaN;6.77
