CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEL2006614_89;MFD_SETNO89;41.926667;-67.1795;287762;4;01-mar-06;10:23:35;32.91;4.7068;5.14179;5.14179;4.7068;32.91
TEL2006614_9;MFD_SETNO9;42.107167;-66.513333;287638;81;20-feb-06;21:42:13;32.801;5.5965;4.93404;4.93404;5.5965;32.801
TEL2006614_9;MFD_SETNO9;42.107167;-66.513333;287639;5;20-feb-06;21:42:13;32.237;4.339;5.26421;5.26421;4.339;32.237
TEL2006614_9;MFD_SETNO9;42.107167;-66.513333;287640;1;20-feb-06;21:42:13;32.237;4.3397;5.26005;5.26005;4.3397;32.237
TEL2006614_92;MFD_SETNO92;41.000667;-67.589667;287765;63;01-mar-06;19:59:01;32.663;4.4204;5.26115;5.26115;4.4204;32.663
TEL2006614_92;MFD_SETNO92;41.000667;-67.589667;287766;5;01-mar-06;19:59:01;32.665;4.4068;5.26122;5.26122;4.4068;32.665
TEL2006614_92;MFD_SETNO92;41.000667;-67.589667;287767;2;01-mar-06;19:59:01;32.664;4.4028;5.26219;5.26219;4.4028;32.664
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287773;189;03-mar-06;06:06:12;33.55;6.1537;3.50291;3.50291;6.1537;33.55
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287774;100;03-mar-06;06:06:12;31.948;2.4901;5.00637;5.00637;2.4901;31.948
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287775;75;03-mar-06;06:06:12;31.713;2.0611;5.2209;5.2209;2.0611;31.713
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287776;50;03-mar-06;06:06:12;31.524;1.7222;5.5177;5.5177;1.7222;31.524
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287777;40;03-mar-06;06:06:12;30.942;0.4319;5.75714;5.75714;0.4319;30.942
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287778;30;03-mar-06;06:06:12;30.906;0.3793;5.76528;5.76528;0.3793;30.906
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287779;20;03-mar-06;06:06:12;30.898;0.3518;5.76439;5.76439;0.3518;30.898
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287780;10;03-mar-06;06:06:12;30.898;0.3211;5.75847;5.75847;0.3211;30.898
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287781;5;03-mar-06;06:06:12;30.897;0.3236;5.75367;5.75367;0.3236;30.897
TEL2006614_98;MFD_SETNO98;44.271167;-63.325;287782;3;03-mar-06;06:06:12;30.898;0.3264;5.75732;5.75732;0.3264;30.898
