CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2004529_2;MFD_SETNO2;43.975667;63.051517;263466;25;06-jul-04;04:44:13;32.137;5.133;3.9661;0.576050387596899;0.515;0.4105;0;NaN;NaN
TEL2004529_2;MFD_SETNO2;43.975667;63.051517;263467;5;06-jul-04;04:44:13;31.245;13.6;3.9716;0.302670542635659;0.65;0.2825;0;31.239;6.101
TEL2004529_20;MFD_SETNO20;42.712967;63.996183;263847;585;08-jul-04;08:28:38;34.906;4.767;3.8622;0.00683449612403101;12.466;1.167;19.5935;34.932;5.4655
TEL2004529_20;MFD_SETNO20;42.712967;63.996183;263848;50;08-jul-04;08:28:38;34.035;11.031;4.667;0.711453294573643;1.272;0.257;0.4155;NaN;NaN
TEL2004529_20;MFD_SETNO20;42.712967;63.996183;263849;25;08-jul-04;08:28:38;31.951;8.788;4.2851;0.624690697674419;0.8165;0.254;0.1425;NaN;NaN
TEL2004529_20;MFD_SETNO20;42.712967;63.996183;263850;5;08-jul-04;08:28:38;31.375;15.212;4.2335;0.28802519379845;1.1525;0.2105;0.144;31.329;6.0745
TEL2004529_21;MFD_SETNO21;42.863633;63.90915;263851;123;08-jul-04;10:56:08;33.975;6.673;3.5559;0.0173081395348837;11.611;1.112;15.274;33.862;4.634
TEL2004529_21;MFD_SETNO21;42.863633;63.90915;263852;50;08-jul-04;10:56:08;32.445;1.825;4.4981;0.520575581395349;3.4265;0.726;4.6335;NaN;NaN
TEL2004529_21;MFD_SETNO21;42.863633;63.90915;263853;25;08-jul-04;10:56:08;32.221;2.128;4.1981;1.12791375968992;1.872;0.5725;1.8385;NaN;NaN
TEL2004529_21;MFD_SETNO21;42.863633;63.90915;263854;5;08-jul-04;10:56:08;30.985;14.138;4.4165;0.336843023255814;0.7465;0.217;0.1665;31.019;6.227
