CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2008830_112;MFD_SETNO112;43.2565;-61.15805;321555;4;21-jul-08;15:41:36;31.9935;16.4946;3.80593;3.80593;16.4946;31.9935
TEM2008830_113;MFD_SETNO113;43.3609;-60.9506;321556;98;21-jul-08;18:22:50;33.1979;2.7821;4.17256;4.17256;2.7821;33.1979
TEM2008830_113;MFD_SETNO113;43.3609;-60.9506;321557;50;21-jul-08;18:22:50;32.8306;3.0958;4.29118;4.29118;3.0958;32.8306
TEM2008830_113;MFD_SETNO113;43.3609;-60.9506;321558;25;21-jul-08;18:22:50;32.3954;7.4628;4.70771;4.70771;7.4628;32.3954
TEM2008830_113;MFD_SETNO113;43.3609;-60.9506;321559;5;21-jul-08;18:22:50;32.1058;16.9709;3.75667;3.75667;16.9709;32.1058
TEM2008830_114;MFD_SETNO114;43.392133;-60.830383;321560;96;21-jul-08;19:54:59;33.114;2.5263;4.21649;4.21649;2.5263;33.114
TEM2008830_114;MFD_SETNO114;43.392133;-60.830383;321561;50;21-jul-08;19:54:59;32.745;2.2917;4.46525;4.46525;2.2917;32.745
TEM2008830_114;MFD_SETNO114;43.392133;-60.830383;321562;25;21-jul-08;19:54:59;32.4702;6.8293;4.73432;4.73432;6.8293;32.4702
TEM2008830_114;MFD_SETNO114;43.392133;-60.830383;321563;5;21-jul-08;19:54:59;31.9603;16.3356;3.86023;3.86023;16.3356;31.9603
TEM2008830_115;MFD_SETNO115;43.644883;-60.55975;321564;61;21-jul-08;22:53:56;32.8508;3.0506;4.121;4.121;3.0506;32.8508
TEM2008830_115;MFD_SETNO115;43.644883;-60.55975;321565;50;21-jul-08;22:53:56;32.8431;3.1004;4.16767;4.16767;3.1004;32.8431
TEM2008830_115;MFD_SETNO115;43.644883;-60.55975;321566;25;21-jul-08;22:53:56;32.3691;7.2798;4.68012;4.68012;7.2798;32.3691
TEM2008830_115;MFD_SETNO115;43.644883;-60.55975;321567;5;21-jul-08;22:53:56;31.7785;16.3584;3.79924;3.79924;16.3584;31.7785
TEM2008830_116;MFD_SETNO116;43.638983;-60.25425;321568;62;22-jul-08;01:00:02;32.7873;2.795;4.27876;4.27876;2.795;32.7873
TEM2008830_116;MFD_SETNO116;43.638983;-60.25425;321569;50;22-jul-08;01:00:02;32.7387;3.3531;4.32318;4.32318;3.3531;32.7387
TEM2008830_116;MFD_SETNO116;43.638983;-60.25425;321570;25;22-jul-08;01:00:02;32.3565;7.1213;4.72464;4.72464;7.1213;32.3565
TEM2008830_116;MFD_SETNO116;43.638983;-60.25425;321571;5;22-jul-08;01:00:02;31.649;16.1269;3.82796;3.82796;16.1269;31.649
TEM2008830_117;MFD_SETNO117;43.851883;-59.938117;321572;39;22-jul-08;03:54:25;31.9986;9.0683;4.16374;4.16374;9.0683;31.9986
TEM2008830_117;MFD_SETNO117;43.851883;-59.938117;321573;25;22-jul-08;03:54:25;31.7984;11.4222;4.21518;4.21518;11.4222;31.7984
TEM2008830_117;MFD_SETNO117;43.851883;-59.938117;321574;6;22-jul-08;03:54:25;31.6229;13.6633;4.04477;4.04477;13.6633;31.6229
TEM2008830_118;MFD_SETNO118;43.846317;-59.404117;321575;58;22-jul-08;07:06:44;32.6354;3.9232;4.03852;4.03852;3.9232;32.6354
TEM2008830_118;MFD_SETNO118;43.846317;-59.404117;321576;25;22-jul-08;07:06:44;32.1773;7.3586;4.36392;4.36392;7.3586;32.1773
TEM2008830_118;MFD_SETNO118;43.846317;-59.404117;321577;5;22-jul-08;07:06:44;31.4387;14.2037;3.96279;3.96279;14.2037;31.4387
TEM2008830_119;MFD_SETNO119;43.676083;-59.2012;321578;301;22-jul-08;09:44:07;34.789;5.7767;2.99856;2.99856;5.7767;34.789
TEM2008830_119;MFD_SETNO119;43.676083;-59.2012;321579;51;22-jul-08;09:44:07;33.6458;5.989;4.16564;4.16564;5.989;33.6458
TEM2008830_119;MFD_SETNO119;43.676083;-59.2012;321580;26;22-jul-08;09:44:07;33.1411;9.8583;4.37365;4.37365;9.8583;33.1411
TEM2008830_119;MFD_SETNO119;43.676083;-59.2012;321581;6;22-jul-08;09:44:07;31.3617;15.5729;3.84024;3.84024;15.5729;31.3617
TEM2008830_12;MFD_SETNO12;43.095767;-63.78695;321187;118;07-jul-08;11:00:10;32.765;3.6585;3.85861;3.85861;3.6585;32.765
TEM2008830_12;MFD_SETNO12;43.095767;-63.78695;321188;50;07-jul-08;11:00:10;31.9624;2.7299;4.50442;4.50442;2.7299;31.9624
